"","MPA","Users","Scenario","Exposure","Ecological sensitivity","Ecological adaptive capacity","Q_Exposure","Q_Ecological sensitivity","Q_Ecological adaptive capacity","Index"
"150","Portofino","Nautical activities","RCP45_2100",0.63336813636702,0.665,0.543754761904762,"Very High","Extreme","Very High","Very High"
"151","Tavolara","Nautical activities","RCP85_2100",0.974587499689849,0.4175,0.546033333333333,"Extreme","High","Very High","High"
"152","Tavolara","Nautical activities","RCP26_2050",0.461864991836836,0.4175,0.546033333333333,"High","High","Very High","High"
"153","Tavolara","Nautical activities","RCP85_2050",0.434577053817334,0.4175,0.546033333333333,"High","High","Very High","High"
"154","Tavolara","Nautical activities","RCP45_2050",0.432146845975072,0.4175,0.546033333333333,"Intermediate","High","Very High","Intermediate"
"155","Tavolara","Nautical activities","RCP26_2100",0.358770124639192,0.4175,0.546033333333333,"Intermediate","High","Very High","Intermediate"
"156","Tavolara","Nautical activities","RCP45_2100",0.650834673183965,0.4175,0.546033333333333,"Very High","High","Very High","High"
"157","Portofino","Recreational fishers","RCP85_2100",0.970040650406504,0.0833333333333333,0.50603550295858,"Extreme","Low","Very High","High"
"158","Portofino","Recreational fishers","RCP85_2050",0.434847145373793,0.0833333333333333,0.50603550295858,"High","Low","Very High","Intermediate"
"159","Portofino","Recreational fishers","RCP26_2050",0.458796495711651,0.0833333333333333,0.50603550295858,"High","Low","Very High","Intermediate"
"160","Portofino","Recreational fishers","RCP45_2050",0.415490583827507,0.0833333333333333,0.50603550295858,"Intermediate","Low","Very High","Intermediate"
"161","Portofino","Recreational fishers","RCP26_2100",0.361786455102598,0.0833333333333333,0.50603550295858,"Intermediate","Low","Very High","Intermediate"
"162","Portofino","Recreational fishers","RCP45_2100",0.63336813636702,0.0833333333333333,0.50603550295858,"Very High","Low","Very High","Intermediate"
"163","Portofino","Professional fishers","RCP85_2100",0.970040650406504,0.45396365,0.552330555555555,"Extreme","Very High","Very High","Very High"
"164","Portofino","Professional fishers","RCP26_2050",0.458796495711651,0.45396365,0.552330555555555,"High","Very High","Very High","High"
"165","Portofino","Professional fishers","RCP85_2050",0.434847145373793,0.45396365,0.552330555555555,"High","Very High","Very High","High"
"166","Portofino","Professional fishers","RCP26_2100",0.361786455102598,0.45396365,0.552330555555555,"Intermediate","Very High","Very High","High"
"167","Portofino","Professional fishers","RCP45_2050",0.415490583827507,0.45396365,0.552330555555555,"Intermediate","Very High","Very High","High"
"168","Portofino","Professional fishers","RCP45_2100",0.63336813636702,0.45396365,0.552330555555555,"Very High","Very High","Very High","High"
